FROM,TO
Interlobular Septa-fma:84472, pulmonary lymphatic vessel-UBERON:0018227
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel endothelium-UBERON:0003529
respiratory system lymphatic vessel endothelium-UBERON:0003529, endothelial-CL:0000115
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel smooth muscle-UBERON:0004296
respiratory system lymphatic vessel smooth muscle-UBERON:0004296, mesenchymal-CL:0008019
Right Medial Bronchopulmonary Segment-fma:7360, visceral pleura-UBERON:0002401
visceral pleura-UBERON:0002401, epithelial
Right Lung-UBERON:0002167, Right Lower Lobe-UBERON: 0002171
Right Lower Lobe-UBERON: 0002171, Right Superior Bronchopulmonary Segment-fma:7366
Right Superior Bronchopulmonary Segment-fma:7366, Right Superior Segmental Bronchus-fma:7416
Right Superior Segmental Bronchus-fma:7416, bronchial epithelium-UBERON:0002339
bronchial epithelium-UBERON:0002339, epithelial
Right Superior Segmental Bronchus-fma:7416, bronchial smooth muscle-UBERON_0004242
bronchial smooth muscle-UBERON_0004242, mesenchymal
Right Superior Segmental Bronchus-fma:7416, bronchial mesenchyme-UBERON:0004884
bronchial mesenchyme-UBERON:0004884, mesenchymal
Right Superior Segmental Bronchus-fma:7416, cartilagenous plate-UBERON:0001102
cartilagenous plate-UBERON:0001102, mesenchymal
Right Superior Segmental Bronchus-fma:7416, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial artery-fma31933
right bronchial artery-fma31933, respiratory system arterial endothelium-UBERON:0004848
respiratory system arterial endothelium-UBERON:0004848, endothelial-CL:0000115
right bronchial artery-fma31933, arterial system smooth muscle-UBERON:0004695
arterial system smooth muscle-UBERON:0004695, mesenchymal-CL:0008019
Right Superior Segmental Bronchus-fma:7416, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial vein-fma4942
right bronchial vein-fma4942, respiratory system venous endothelium-UBERON:0004849
respiratory system venous endothelium-UBERON:0004849, endothelial-CL:0000115
right bronchial vein-fma4942, venous system smooth muscle-UBERON:0004696
venous system smooth muscle-UBERON:0004696, mesenchymal-CL:0008019
Right Superior Bronchopulmonary Segment-fma:7366, Right Superior Segmental Pulmonary Artery-fma:8627
Right Superior Segmental Pulmonary Artery-fma:8627, Pulmonary arterial endothelium-UBERON:0005317
Pulmonary arterial endothelium-UBERON:0005317, endothelial
Right Superior Segmental Pulmonary Artery-fma:8627, Pulmonary arterial smooth muscle
Pulmonary arterial smooth muscle, mesenchymal
Right Superior Segmental Pulmonary Artery-fma:8627, Pulmonary arterial fibroblasts
Pulmonary arterial fibroblasts, mesenchymal
Right Superior Segmental Bronchus-fma:7416, ciliated ducts of bronchial submucosal gland
ciliated ducts of bronchial submucosal gland, epithelial
Right Superior Segmental Bronchus-fma:7416, bronchial submucosal gland-UBERON:0019190
bronchial submucosal gland-UBERON:0019190, epithelial
Right Superior Bronchopulmonary Segment-fma:7366, Primary Bronchioles-fma:279818
Primary Bronchioles-fma:279818, epithelial
Primary Bronchioles-fma:279818, mesenchymal
Right Superior Bronchopulmonary Segment-fma:7366, Pulmonary Lobule-UBERON: 0010368
Pulmonary Lobule-UBERON: 0010368, Terminal/ Transitional Bronchioles-UBERON:0002187
Terminal/ Transitional Bronchioles-UBERON:0002187, epithelial
Terminal/ Transitional Bronchioles-UBERON:0002187, smooth muscle tissue of terminal bronchiole-UBERON_0004516
smooth muscle tissue of terminal bronchiole-UBERON_0004516, mesenchymal
Terminal/ Transitional Bronchioles-UBERON:0002187, Bronchoalveolar duct junction-UBERON:0004903
Bronchoalveolar duct junction-UBERON:0004903, epithelial
Pulmonary Lobule-UBERON: 0010368, Pulmonary Acinus-UBERON:0008874
Pulmonary Acinus-UBERON:0008874, Respiratory bronchioles-UBERON:0002188
Respiratory bronchioles-UBERON:0002188, epithelial
Respiratory bronchioles-UBERON:0002188, smooth muscle tissue of respiratory bronchiole-UBERON_0004517
smooth muscle tissue of respiratory bronchiole-UBERON_0004517, mesenchymal-CL:0008019
Pulmonary Acinus-UBERON:0008874, Alveolar Ducts-UBERON:0002173
Alveolar Ducts-UBERON:0002173, mesenchymal
Pulmonary Acinus-UBERON:0008874, Alveoli-UBERON:0008870
Alveoli-UBERON:0008870, epithelial
Alveoli-UBERON:0008870, mesenchymal
Alveoli-UBERON:0008870, hematopoietic
Alveoli-UBERON:0008870, Alveolar capillaries-UBERON:0016405
Alveolar capillaries-UBERON:0016405, endothelial-CL:0000115
Pulmonary Lobule-UBERON: 0010368, Interlobular Septa-fma:84472
Interlobular Septa-fma:84472, Pulmonary Vein-UBERON:0002016
Pulmonary Vein-UBERON:0002016, Pulmonary Vein endotheliim
Pulmonary Vein endotheliim, endothelial-CL:0000115
Interlobular Septa-fma:84472, pulmonary lymphatic vessel-UBERON:0018227
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel endothelium-UBERON:0003529
respiratory system lymphatic vessel endothelium-UBERON:0003529, endothelial-CL:0000115
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel smooth muscle-UBERON:0004296
respiratory system lymphatic vessel smooth muscle-UBERON:0004296, mesenchymal-CL:0008019
Right Superior Bronchopulmonary Segment-fma:7366, visceral pleura-UBERON:0002401
visceral pleura-UBERON:0002401, epithelial
Right Lower Lobe-UBERON: 0002171, Right Medial Basal Bronchopulmonary Segment-fma:7365
Right Medial Basal Bronchopulmonary Segment-fma:7365, Right Medial Basal Segmental Bronchus-fma:7417
Right Medial Basal Segmental Bronchus-fma:7417, bronchial epithelium-UBERON:0002339
bronchial epithelium-UBERON:0002339, epithelial
Right Medial Basal Segmental Bronchus-fma:7417, bronchial smooth muscle-UBERON_0004242
bronchial smooth muscle-UBERON_0004242, mesenchymal
Right Medial Basal Segmental Bronchus-fma:7417, bronchial mesenchyme-UBERON:0004884
bronchial mesenchyme-UBERON:0004884, mesenchymal
Right Medial Basal Segmental Bronchus-fma:7417, cartilagenous plate-UBERON:0001102
cartilagenous plate-UBERON:0001102, mesenchymal
Right Medial Basal Segmental Bronchus-fma:7417, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial artery-fma31933
right bronchial artery-fma31933, respiratory system arterial endothelium-UBERON:0004848
respiratory system arterial endothelium-UBERON:0004848, endothelial-CL:0000115
right bronchial artery-fma31933, arterial system smooth muscle-UBERON:0004695
arterial system smooth muscle-UBERON:0004695, mesenchymal-CL:0008019
Right Medial Basal Segmental Bronchus-fma:7417, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial vein-fma4942
right bronchial vein-fma4942, respiratory system venous endothelium-UBERON:0004849
respiratory system venous endothelium-UBERON:0004849, endothelial-CL:0000115
right bronchial vein-fma4942, venous system smooth muscle-UBERON:0004696
venous system smooth muscle-UBERON:0004696, mesenchymal-CL:0008019
Right Medial Basal Bronchopulmonary Segment-fma:7365, Right Medial Basal Segmental Pulmonary Artery-fma:8628
Right Medial Basal Segmental Pulmonary Artery-fma:8628, Pulmonary arterial endothelium-UBERON:0005317
Pulmonary arterial endothelium-UBERON:0005317, endothelial
Right Medial Basal Segmental Pulmonary Artery-fma:8628, Pulmonary arterial smooth muscle
Pulmonary arterial smooth muscle, mesenchymal
Right Medial Basal Segmental Pulmonary Artery-fma:8628, Pulmonary arterial fibroblasts
Pulmonary arterial fibroblasts, mesenchymal
Right Medial Basal Segmental Bronchus-fma:7417, ciliated ducts of bronchial submucosal gland
ciliated ducts of bronchial submucosal gland, epithelial
Right Medial Basal Segmental Bronchus-fma:7417, bronchial submucosal gland-UBERON:0019190
bronchial submucosal gland-UBERON:0019190, epithelial
Right Medial Basal Bronchopulmonary Segment-fma:7365, Primary Bronchioles-fma:279818
Primary Bronchioles-fma:279818, epithelial
Primary Bronchioles-fma:279818, mesenchymal
Right Medial Basal Bronchopulmonary Segment-fma:7365, Pulmonary Lobule-UBERON: 0010368
Pulmonary Lobule-UBERON: 0010368, Terminal/ Transitional Bronchioles-UBERON:0002187
Terminal/ Transitional Bronchioles-UBERON:0002187, epithelial
Terminal/ Transitional Bronchioles-UBERON:0002187, smooth muscle tissue of terminal bronchiole-UBERON_0004516
smooth muscle tissue of terminal bronchiole-UBERON_0004516, mesenchymal
Terminal/ Transitional Bronchioles-UBERON:0002187, Bronchoalveolar duct junction-UBERON:0004903
Bronchoalveolar duct junction-UBERON:0004903, epithelial
Pulmonary Lobule-UBERON: 0010368, Pulmonary Acinus-UBERON:0008874
Pulmonary Acinus-UBERON:0008874, Respiratory bronchioles-UBERON:0002188
Respiratory bronchioles-UBERON:0002188, epithelial
Respiratory bronchioles-UBERON:0002188, smooth muscle tissue of respiratory bronchiole-UBERON_0004517
smooth muscle tissue of respiratory bronchiole-UBERON_0004517, mesenchymal-CL:0008019
Pulmonary Acinus-UBERON:0008874, Alveolar Ducts-UBERON:0002173
Alveolar Ducts-UBERON:0002173, mesenchymal
Pulmonary Acinus-UBERON:0008874, Alveoli-UBERON:0008870
Alveoli-UBERON:0008870, epithelial
Alveoli-UBERON:0008870, mesenchymal
Alveoli-UBERON:0008870, hematopoietic
Alveoli-UBERON:0008870, Alveolar capillaries-UBERON:0016405
Alveolar capillaries-UBERON:0016405, endothelial-CL:0000115
Pulmonary Lobule-UBERON: 0010368, Interlobular Septa-fma:84472
Interlobular Septa-fma:84472, Pulmonary Vein-UBERON:0002016
Pulmonary Vein-UBERON:0002016, Pulmonary Vein endotheliim
Pulmonary Vein endotheliim, endothelial-CL:0000115
Interlobular Septa-fma:84472, pulmonary lymphatic vessel-UBERON:0018227
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel endothelium-UBERON:0003529
respiratory system lymphatic vessel endothelium-UBERON:0003529, endothelial-CL:0000115
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel smooth muscle-UBERON:0004296
respiratory system lymphatic vessel smooth muscle-UBERON:0004296, mesenchymal-CL:0008019
Right Medial Basal Bronchopulmonary Segment-fma:7365, visceral pleura-UBERON:0002401
visceral pleura-UBERON:0002401, epithelial
Right Lower Lobe-UBERON: 0002171, Right Anterior Basal Bronchopulmonary Segment-fma:7364
Right Anterior Basal Bronchopulmonary Segment-fma:7364, Right Anterior Basal Segmental Bronchus-fma:7418
Right Anterior Basal Segmental Bronchus-fma:7418, bronchial epithelium-UBERON:0002339
bronchial epithelium-UBERON:0002339, epithelial
Right Anterior Basal Segmental Bronchus-fma:7418, bronchial smooth muscle-UBERON_0004242
bronchial smooth muscle-UBERON_0004242, mesenchymal
Right Anterior Basal Segmental Bronchus-fma:7418, bronchial mesenchyme-UBERON:0004884
bronchial mesenchyme-UBERON:0004884, mesenchymal
Right Anterior Basal Segmental Bronchus-fma:7418, cartilagenous plate-UBERON:0001102
cartilagenous plate-UBERON:0001102, mesenchymal
Right Anterior Basal Segmental Bronchus-fma:7418, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial artery-fma31933
right bronchial artery-fma31933, respiratory system arterial endothelium-UBERON:0004848
respiratory system arterial endothelium-UBERON:0004848, endothelial-CL:0000115
right bronchial artery-fma31933, arterial system smooth muscle-UBERON:0004695
arterial system smooth muscle-UBERON:0004695, mesenchymal-CL:0008019
Right Anterior Basal Segmental Bronchus-fma:7418, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial vein-fma4942
right bronchial vein-fma4942, respiratory system venous endothelium-UBERON:0004849
respiratory system venous endothelium-UBERON:0004849, endothelial-CL:0000115
right bronchial vein-fma4942, venous system smooth muscle-UBERON:0004696
venous system smooth muscle-UBERON:0004696, mesenchymal-CL:0008019
Right Anterior Basal Bronchopulmonary Segment-fma:7364, Right Anterior Basal Segmental Pulmonary Artery-fma:8630
Right Anterior Basal Segmental Pulmonary Artery-fma:8630, Pulmonary arterial endothelium-UBERON:0005317
Pulmonary arterial endothelium-UBERON:0005317, endothelial
Right Anterior Basal Segmental Pulmonary Artery-fma:8630, Pulmonary arterial smooth muscle
Pulmonary arterial smooth muscle, mesenchymal
Right Anterior Basal Segmental Pulmonary Artery-fma:8630, Pulmonary arterial fibroblasts
Pulmonary arterial fibroblasts, mesenchymal
Right Anterior Basal Segmental Bronchus-fma:7418, ciliated ducts of bronchial submucosal gland
ciliated ducts of bronchial submucosal gland, epithelial
Right Anterior Basal Segmental Bronchus-fma:7418, bronchial submucosal gland-UBERON:0019190
bronchial submucosal gland-UBERON:0019190, epithelial
Right Anterior Basal Bronchopulmonary Segment-fma:7364, Primary Bronchioles-fma:279818
Primary Bronchioles-fma:279818, epithelial
Primary Bronchioles-fma:279818, mesenchymal
Right Anterior Basal Bronchopulmonary Segment-fma:7364, Pulmonary Lobule-UBERON: 0010368
Pulmonary Lobule-UBERON: 0010368, Terminal/ Transitional Bronchioles-UBERON:0002187
Terminal/ Transitional Bronchioles-UBERON:0002187, epithelial
Terminal/ Transitional Bronchioles-UBERON:0002187, smooth muscle tissue of terminal bronchiole-UBERON_0004516
smooth muscle tissue of terminal bronchiole-UBERON_0004516, mesenchymal
Terminal/ Transitional Bronchioles-UBERON:0002187, Bronchoalveolar duct junction-UBERON:0004903
Bronchoalveolar duct junction-UBERON:0004903, epithelial
Pulmonary Lobule-UBERON: 0010368, Pulmonary Acinus-UBERON:0008874
Pulmonary Acinus-UBERON:0008874, Respiratory bronchioles-UBERON:0002188
Respiratory bronchioles-UBERON:0002188, epithelial
Respiratory bronchioles-UBERON:0002188, smooth muscle tissue of respiratory bronchiole-UBERON_0004517
smooth muscle tissue of respiratory bronchiole-UBERON_0004517, mesenchymal-CL:0008019
Pulmonary Acinus-UBERON:0008874, Alveolar Ducts-UBERON:0002173
Alveolar Ducts-UBERON:0002173, mesenchymal
Pulmonary Acinus-UBERON:0008874, Alveoli-UBERON:0008870
Alveoli-UBERON:0008870, epithelial
Alveoli-UBERON:0008870, mesenchymal
Alveoli-UBERON:0008870, hematopoietic
Alveoli-UBERON:0008870, Alveolar capillaries-UBERON:0016405
Alveolar capillaries-UBERON:0016405, endothelial-CL:0000115
Pulmonary Lobule-UBERON: 0010368, Interlobular Septa-fma:84472
Interlobular Septa-fma:84472, Pulmonary Vein-UBERON:0002016
Pulmonary Vein-UBERON:0002016, Pulmonary Vein endotheliim
Pulmonary Vein endotheliim, endothelial-CL:0000115
Interlobular Septa-fma:84472, pulmonary lymphatic vessel-UBERON:0018227
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel endothelium-UBERON:0003529
respiratory system lymphatic vessel endothelium-UBERON:0003529, endothelial-CL:0000115
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel smooth muscle-UBERON:0004296
respiratory system lymphatic vessel smooth muscle-UBERON:0004296, mesenchymal-CL:0008019
Right Anterior Basal Bronchopulmonary Segment-fma:7364, visceral pleura-UBERON:0002401
visceral pleura-UBERON:0002401, epithelial
Right Lower Lobe-UBERON: 0002171, Right Lateral Basal Bronchopulmonary Segment-fma:7363
Right Lateral Basal Bronchopulmonary Segment-fma:7363, Right Lateral Basal Segmental Bronchus-fma:7419
Right Lateral Basal Segmental Bronchus-fma:7419, bronchial epithelium-UBERON:0002339
bronchial epithelium-UBERON:0002339, epithelial
Right Lateral Basal Segmental Bronchus-fma:7419, bronchial smooth muscle-UBERON_0004242
bronchial smooth muscle-UBERON_0004242, mesenchymal
Right Lateral Basal Segmental Bronchus-fma:7419, bronchial mesenchyme-UBERON:0004884
bronchial mesenchyme-UBERON:0004884, mesenchymal
Right Lateral Basal Segmental Bronchus-fma:7419, cartilagenous plate-UBERON:0001102
cartilagenous plate-UBERON:0001102, mesenchymal
Right Lateral Basal Segmental Bronchus-fma:7419, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial artery-fma31933
right bronchial artery-fma31933, respiratory system arterial endothelium-UBERON:0004848
respiratory system arterial endothelium-UBERON:0004848, endothelial-CL:0000115
right bronchial artery-fma31933, arterial system smooth muscle-UBERON:0004695
arterial system smooth muscle-UBERON:0004695, mesenchymal-CL:0008019
Right Lateral Basal Segmental Bronchus-fma:7419, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial vein-fma4942
right bronchial vein-fma4942, respiratory system venous endothelium-UBERON:0004849
respiratory system venous endothelium-UBERON:0004849, endothelial-CL:0000115
right bronchial vein-fma4942, venous system smooth muscle-UBERON:0004696
venous system smooth muscle-UBERON:0004696, mesenchymal-CL:0008019
Right Lateral Basal Bronchopulmonary Segment-fma:7363, Right Lateral Basal Segmental Pulmonary Artery-fma:8631
Right Lateral Basal Segmental Pulmonary Artery-fma:8631, Pulmonary arterial endothelium-UBERON:0005317
Pulmonary arterial endothelium-UBERON:0005317, endothelial
Right Lateral Basal Segmental Pulmonary Artery-fma:8631, Pulmonary arterial smooth muscle
Pulmonary arterial smooth muscle, mesenchymal
Right Lateral Basal Segmental Pulmonary Artery-fma:8631, Pulmonary arterial fibroblasts
Pulmonary arterial fibroblasts, mesenchymal
Right Lateral Basal Segmental Bronchus-fma:7419, ciliated ducts of bronchial submucosal gland
ciliated ducts of bronchial submucosal gland, epithelial
Right Lateral Basal Segmental Bronchus-fma:7419, bronchial submucosal gland-UBERON:0019190
bronchial submucosal gland-UBERON:0019190, epithelial
Right Lateral Basal Bronchopulmonary Segment-fma:7363, Primary Bronchioles-fma:279818
Primary Bronchioles-fma:279818, epithelial
Primary Bronchioles-fma:279818, mesenchymal
Right Lateral Basal Bronchopulmonary Segment-fma:7363, Pulmonary Lobule-UBERON: 0010368
Pulmonary Lobule-UBERON: 0010368, Terminal/ Transitional Bronchioles-UBERON:0002187
Terminal/ Transitional Bronchioles-UBERON:0002187, epithelial
Terminal/ Transitional Bronchioles-UBERON:0002187, smooth muscle tissue of terminal bronchiole-UBERON_0004516
smooth muscle tissue of terminal bronchiole-UBERON_0004516, mesenchymal
Terminal/ Transitional Bronchioles-UBERON:0002187, Bronchoalveolar duct junction-UBERON:0004903
Bronchoalveolar duct junction-UBERON:0004903, epithelial
Pulmonary Lobule-UBERON: 0010368, Pulmonary Acinus-UBERON:0008874
Pulmonary Acinus-UBERON:0008874, Respiratory bronchioles-UBERON:0002188
Respiratory bronchioles-UBERON:0002188, epithelial
Respiratory bronchioles-UBERON:0002188, smooth muscle tissue of respiratory bronchiole-UBERON_0004517
smooth muscle tissue of respiratory bronchiole-UBERON_0004517, mesenchymal-CL:0008019
Pulmonary Acinus-UBERON:0008874, Alveolar Ducts-UBERON:0002173
Alveolar Ducts-UBERON:0002173, mesenchymal
Pulmonary Acinus-UBERON:0008874, Alveoli-UBERON:0008870
Alveoli-UBERON:0008870, epithelial
Alveoli-UBERON:0008870, mesenchymal
Alveoli-UBERON:0008870, hematopoietic
Alveoli-UBERON:0008870, Alveolar capillaries-UBERON:0016405
Alveolar capillaries-UBERON:0016405, endothelial-CL:0000115
Pulmonary Lobule-UBERON: 0010368, Interlobular Septa-fma:84472
Interlobular Septa-fma:84472, Pulmonary Vein-UBERON:0002016
Pulmonary Vein-UBERON:0002016, Pulmonary Vein endotheliim
Pulmonary Vein endotheliim, endothelial-CL:0000115
Interlobular Septa-fma:84472, pulmonary lymphatic vessel-UBERON:0018227
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel endothelium-UBERON:0003529
respiratory system lymphatic vessel endothelium-UBERON:0003529, endothelial-CL:0000115
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel smooth muscle-UBERON:0004296
respiratory system lymphatic vessel smooth muscle-UBERON:0004296, mesenchymal-CL:0008019
Right Lateral Basal Bronchopulmonary Segment-fma:7363, visceral pleura-UBERON:0002401
visceral pleura-UBERON:0002401, epithelial
Right Lower Lobe-UBERON: 0002171, Right Posterior Basal Bronchopulmonary Segment-fma:7362
Right Posterior Basal Bronchopulmonary Segment-fma:7362, Right Posterior Basal Segmental Bronchus-fma:7399
Right Posterior Basal Segmental Bronchus-fma:7399, bronchial epithelium-UBERON:0002339
bronchial epithelium-UBERON:0002339, epithelial
Right Posterior Basal Segmental Bronchus-fma:7399, bronchial smooth muscle-UBERON_0004242
bronchial smooth muscle-UBERON_0004242, mesenchymal
Right Posterior Basal Segmental Bronchus-fma:7399, bronchial mesenchyme-UBERON:0004884
bronchial mesenchyme-UBERON:0004884, mesenchymal
Right Posterior Basal Segmental Bronchus-fma:7399, cartilagenous plate-UBERON:0001102
cartilagenous plate-UBERON:0001102, mesenchymal
Right Posterior Basal Segmental Bronchus-fma:7399, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial artery-fma31933
right bronchial artery-fma31933, respiratory system arterial endothelium-UBERON:0004848
respiratory system arterial endothelium-UBERON:0004848, endothelial-CL:0000115
right bronchial artery-fma31933, arterial system smooth muscle-UBERON:0004695
arterial system smooth muscle-UBERON:0004695, mesenchymal-CL:0008019
Right Posterior Basal Segmental Bronchus-fma:7399, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, right bronchial vein-fma4942
right bronchial vein-fma4942, respiratory system venous endothelium-UBERON:0004849
respiratory system venous endothelium-UBERON:0004849, endothelial-CL:0000115
right bronchial vein-fma4942, venous system smooth muscle-UBERON:0004696
venous system smooth muscle-UBERON:0004696, mesenchymal-CL:0008019
Right Posterior Basal Bronchopulmonary Segment-fma:7362, Right Posterior Basal Segmental Pulmonary Artery-fma:8632
Right Posterior Basal Segmental Pulmonary Artery-fma:8632, Pulmonary arterial endothelium-UBERON:0005317
Pulmonary arterial endothelium-UBERON:0005317, endothelial
Right Posterior Basal Segmental Pulmonary Artery-fma:8632, Pulmonary arterial smooth muscle
Pulmonary arterial smooth muscle, mesenchymal
Right Posterior Basal Segmental Pulmonary Artery-fma:8632, Pulmonary arterial fibroblasts
Pulmonary arterial fibroblasts, mesenchymal
Right Posterior Basal Segmental Bronchus-fma:7399, ciliated ducts of bronchial submucosal gland
ciliated ducts of bronchial submucosal gland, epithelial
Right Posterior Basal Segmental Bronchus-fma:7399, bronchial submucosal gland-UBERON:0019190
bronchial submucosal gland-UBERON:0019190, epithelial
Right Posterior Basal Bronchopulmonary Segment-fma:7362, Primary Bronchioles-fma:279818
Primary Bronchioles-fma:279818, epithelial
Primary Bronchioles-fma:279818, mesenchymal
Right Posterior Basal Bronchopulmonary Segment-fma:7362, Pulmonary Lobule-UBERON: 0010368
Pulmonary Lobule-UBERON: 0010368, Terminal/ Transitional Bronchioles-UBERON:0002187
Terminal/ Transitional Bronchioles-UBERON:0002187, epithelial
Terminal/ Transitional Bronchioles-UBERON:0002187, smooth muscle tissue of terminal bronchiole-UBERON_0004516
smooth muscle tissue of terminal bronchiole-UBERON_0004516, mesenchymal
Terminal/ Transitional Bronchioles-UBERON:0002187, Bronchoalveolar duct junction-UBERON:0004903
Bronchoalveolar duct junction-UBERON:0004903, epithelial
Pulmonary Lobule-UBERON: 0010368, Pulmonary Acinus-UBERON:0008874
Pulmonary Acinus-UBERON:0008874, Respiratory bronchioles-UBERON:0002188
Respiratory bronchioles-UBERON:0002188, epithelial
Respiratory bronchioles-UBERON:0002188, smooth muscle tissue of respiratory bronchiole-UBERON_0004517
smooth muscle tissue of respiratory bronchiole-UBERON_0004517, mesenchymal-CL:0008019
Pulmonary Acinus-UBERON:0008874, Alveolar Ducts-UBERON:0002173
Alveolar Ducts-UBERON:0002173, mesenchymal
Pulmonary Acinus-UBERON:0008874, Alveoli-UBERON:0008870
Alveoli-UBERON:0008870, epithelial
Alveoli-UBERON:0008870, mesenchymal
Alveoli-UBERON:0008870, hematopoietic
Alveoli-UBERON:0008870, Alveolar capillaries-UBERON:0016405
Alveolar capillaries-UBERON:0016405, endothelial-CL:0000115
Pulmonary Lobule-UBERON: 0010368, Interlobular Septa-fma:84472
Interlobular Septa-fma:84472, Pulmonary Vein-UBERON:0002016
Pulmonary Vein-UBERON:0002016, Pulmonary Vein endotheliim
Pulmonary Vein endotheliim, endothelial-CL:0000115
Interlobular Septa-fma:84472, pulmonary lymphatic vessel-UBERON:0018227
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel endothelium-UBERON:0003529
respiratory system lymphatic vessel endothelium-UBERON:0003529, endothelial-CL:0000115
pulmonary lymphatic vessel-UBERON:0018227, respiratory system lymphatic vessel smooth muscle-UBERON:0004296
respiratory system lymphatic vessel smooth muscle-UBERON:0004296, mesenchymal-CL:0008019
Right Posterior Basal Bronchopulmonary Segment-fma:7362, visceral pleura-UBERON:0002401
visceral pleura-UBERON:0002401, epithelial
Left Lung-UBERON:0002168, Left Upper Lobe-UBERON: 0008952
Left Upper Lobe-UBERON: 0008952, Left Apical Bronchopulmonary Segment-fma:7385
Left Apical Bronchopulmonary Segment-fma:7385, Left Apical Segmental Bronchus-fma:7426
Left Apical Segmental Bronchus-fma:7426, bronchial epithelium-UBERON:0002339
bronchial epithelium-UBERON:0002339, epithelial
Left Apical Segmental Bronchus-fma:7426, bronchial smooth muscle-UBERON_0004242
bronchial smooth muscle-UBERON_0004242, mesenchymal
Left Apical Segmental Bronchus-fma:7426, bronchial mesenchyme-UBERON:0004884
bronchial mesenchyme-UBERON:0004884, mesenchymal
Left Apical Segmental Bronchus-fma:7426, cartilagenous plate-UBERON:0001102
cartilagenous plate-UBERON:0001102, mesenchymal
Left Apical Segmental Bronchus-fma:7426, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, superior left bronchial artery-fma:4146
superior left bronchial artery-fma:4146, respiratory system arterial endothelium-UBERON:0004848
respiratory system arterial endothelium-UBERON:0004848, endothelial-CL:0000115
superior left bronchial artery-fma:4146, arterial system smooth muscle-UBERON:0004695
arterial system smooth muscle-UBERON:0004695, mesenchymal-CL:0008019
Left Apical Segmental Bronchus-fma:7426, bronchial vessels-UBERON:0004889
bronchial vessels-UBERON:0004889, left bronchial vein-fma:4837
left bronchial vein-fma:4837, respiratory system venous endothelium-UBERON:0004849
respiratory system venous endothelium-UBERON:0004849, endothelial-CL:0000115
left bronchial vein-fma:4837, venous system smooth muscle-UBERON:0004696
venous system smooth muscle-UBERON:0004696, mesenchymal-CL:0008019
Left Apical Bronchopulmonary Segment-fma:7385, Left Apicoposterior Segmental Pulmonary Artery-fma:13281
Left Apicoposterior Segmental Pulmonary Artery-fma:13281, Pulmonary arterial endothelium-UBERON:0005317
Pulmonary arterial endothelium-UBERON:0005317, endothelial
Left Apicoposterior Segmental Pulmonary Artery-fma:13281, Pulmonary arterial smooth muscle
Pulmonary arterial smooth muscle, mesenchymal
Left Apicoposterior Segmental Pulmonary Artery-fma:13281, Pulmonary arterial fibroblasts
Pulmonary arterial fibroblasts, mesenchymal
Left Apical Segmental Bronchus-fma:7426, ciliated ducts of bronchial submucosal gland
ciliated ducts of bronchial submucosal gland, epithelial
Left Apical Segmental Bronchus-fma:7426, bronchial submucosal gland-UBERON:0019190
bronchial submucosal gland-UBERON:0019190, epithelial
Left Apical Bronchopulmonary Segment-fma:7385, Primary Bronchioles-fma:279818
Primary Bronchioles-fma:279818, epithelial
Primary Bronchioles-fma:279818, mesenchymal
Left Apical Bronchopulmonary Segment-fma:7385, Pulmonary Lobule-UBERON: 0010368
Pulmonary Lobule-UBERON: 0010368, Terminal/ Transitional Bronchioles-UBERON:0002187
Terminal/ Transitional Bronchioles-UBERON:0002187, epithelial
Terminal/ Transitional Bronchioles-UBERON:0002187, smooth muscle tissue of terminal bronchiole-UBERON_0004516
smooth muscle tissue of terminal bronchiole-UBERON_0004516, mesenchymal
Terminal/ Transitional Bronchioles-UBERON:0002187, Bronchoalveolar duct junction-UBERON:0004903
Bronchoalveolar duct junction-UBERON:0004903, epithelial
Pulmonary Lobule-UBERON: 0010368, Pulmonary Acinus-UBERON:0008874
